;D;Precision
0.01,0.016289999999999815;0.01;0.016289999999999815
0.02,0.023979999999999974;0.02;0.023979999999999974
0.03,0.03144000000000002;0.03;0.03144000000000002
0.04,0.041239999999999985;0.04;0.041239999999999985
0.05,0.04920999999999998;0.05;0.04920999999999998
0.060000000000000005,0.056480000000000016;0.060000000000000005;0.056480000000000016
0.06999999999999999,0.06623;0.06999999999999999;0.06623
0.08,0.07203;0.08;0.07203
0.09,0.08066999999999981;0.09;0.08066999999999981
0.09999999999999999,0.08808999999999997;0.09999999999999999;0.08808999999999997
0.11,0.09613999999999978;0.11;0.09613999999999978
0.12,0.10304999999999995;0.12;0.10304999999999995
0.13,0.11225999999999985;0.13;0.11225999999999985
0.14,0.12065999999999998;0.14;0.12065999999999998
0.15000000000000002,0.1268899999999999;0.15000000000000002;0.1268899999999999
0.16,0.13554000000000016;0.16;0.13554000000000016
0.17,0.14045999999999983;0.17;0.14045999999999983
0.18000000000000002,0.14848999999999987;0.18000000000000002;0.14848999999999987
0.19,0.15786999999999987;0.19;0.15786999999999987
0.2,0.16496999999999976;0.2;0.16496999999999976
0.21000000000000002,0.17485999999999974;0.21000000000000002;0.17485999999999974
0.22,0.18090999999999946;0.22;0.18090999999999946
0.23,0.18973999999999944;0.23;0.18973999999999944
0.24000000000000002,0.19971999999999948;0.24000000000000002;0.19971999999999948
0.25,0.20717999999999961;0.25;0.20717999999999961
0.26,0.21424999999999955;0.26;0.21424999999999955
0.27,0.22536999999999943;0.27;0.22536999999999943
0.28,0.23140999999999978;0.28;0.23140999999999978
0.29000000000000004,0.24217999999999962;0.29000000000000004;0.24217999999999962
0.3,0.2500800000000001;0.3;0.2500800000000001
0.31,0.26194000000000023;0.31;0.26194000000000023
0.32,0.2694300000000003;0.32;0.2694300000000003
0.33,0.2771300000000005;0.33;0.2771300000000005
0.34,0.28941000000000033;0.34;0.28941000000000033
0.35000000000000003,0.2945700000000004;0.35000000000000003;0.2945700000000004
0.36000000000000004,0.3029100000000001;0.36000000000000004;0.3029100000000001
0.37,0.3164700000000001;0.37;0.3164700000000001
0.38,0.3236400000000005;0.38;0.3236400000000005
0.39,0.3303100000000009;0.39;0.3303100000000009
0.4,0.3430399999999998;0.4;0.3430399999999998
0.41000000000000003,0.35020000000000023;0.41000000000000003;0.35020000000000023
0.42000000000000004,0.36526999999999993;0.42000000000000004;0.36526999999999993
0.43,0.3717500000000001;0.43;0.3717500000000001
0.44,0.38425999999999993;0.44;0.38425999999999993
0.45,0.39133999999999985;0.45;0.39133999999999985
0.46,0.40050000000000024;0.46;0.40050000000000024
0.47000000000000003,0.41112000000000026;0.47000000000000003;0.41112000000000026
0.48000000000000004,0.42331000000000024;0.48000000000000004;0.42331000000000024
0.49,0.43380000000000024;0.49;0.43380000000000024
0.5,0.4458500000000002;0.5;0.4458500000000002
